a,b,label
0.62,0.76,0.4712
-0.27,-0.82,0.2214
0.77,0.26,0.20020000000000002
-0.29,-0.52,0.1508
0.63,-0.45,-0.28350000000000003
0.21,0.81,0.1701
0.43,-0.56,-0.24080000000000001
-0.48,0.21,-0.10079999999999999
-0.67,-0.37,0.2479
-1.0,0.06,-0.06
0.67,-0.34,-0.22780000000000003
-0.12,-0.57,0.06839999999999999
0.78,0.67,0.5226000000000001
-0.88,-0.5,0.44
-0.39,-0.57,0.2223
-0.03,-0.1,0.003
-0.14,-0.33,0.046200000000000005
0.05,-0.49,-0.0245
0.12,-0.54,-0.0648
0.87,0.37,0.3219
-0.8,-0.98,0.784
-0.22,-0.13,0.0286
0.14,-0.54,-0.07560000000000001
-1.0,-0.86,0.86
-0.29,-0.37,0.10729999999999999
0.86,0.54,0.46440000000000003
0.72,0.55,0.396
-0.23,0.55,-0.12650000000000003
0.35,0.2,0.06999999999999999
-0.15,0.86,-0.129
-0.71,-1.0,0.71
0.21,0.26,0.0546
-0.27,0.43,-0.11610000000000001
-0.46,0.5,-0.23
0.96,0.97,0.9311999999999999
-0.62,-0.29,0.1798
-0.14,-0.65,0.09100000000000001
0.38,0.5,0.19
-0.89,0.79,-0.7031000000000001
-0.35,-0.99,0.3465
-0.32,-0.36,0.1152
-0.46,-0.97,0.4462
-0.77,-0.08,0.0616
0.53,-0.26,-0.1378
0.67,-0.37,-0.2479
0.35,0.84,0.294
-0.74,0.6,-0.444
0.3,0.28,0.084
0.57,0.69,0.3932999999999999
0.39,0.69,0.2691
-0.66,0.99,-0.6534
0.54,0.71,0.3834
0.83,0.31,0.2573
-0.2,-0.07,0.014000000000000002
0.39,0.96,0.3744
0.08,-0.63,-0.0504
0.37,0.99,0.3663
-0.79,-0.9,0.7110000000000001
-0.18,0.21,-0.0378
0.38,-0.34,-0.1292
-0.58,0.15,-0.087
0.06,-0.86,-0.0516
0.45,-0.23,-0.10350000000000001
0.81,-0.15,-0.1215
-0.25,0.11,-0.0275
-0.03,0.96,-0.0288
-0.07,-0.7,0.049
-0.07,-0.81,0.05670000000000001
-0.35,-0.91,0.3185
0.85,0.44,0.374
0.09,0.3,0.027
0.48,-0.86,-0.4128
-0.7,0.16,-0.11199999999999999
0.82,-0.44,-0.36079999999999995
-0.52,-0.7,0.364
-0.58,-0.91,0.5277999999999999
-0.42,0.05,-0.021
0.44,-0.75,-0.33
-0.15,-0.34,0.051000000000000004
0.39,0.61,0.2379
-0.29,-0.88,0.2552
0.47,-0.31,-0.1457
0.18,0.12,0.021599999999999998
-0.87,0.15,-0.1305
0.56,0.88,0.49280000000000007
0.95,-0.52,-0.494
0.76,-0.32,-0.2432
-0.67,0.56,-0.37520000000000003
-0.11,0.73,-0.0803
0.84,0.72,0.6048
0.92,0.41,0.3772
-0.31,-0.63,0.1953
-0.65,0.36,-0.23399999999999999
-0.32,-0.38,0.1216
0.82,-0.21,-0.1722
0.64,0.02,0.0128
0.57,0.86,0.49019999999999997
-0.23,-0.61,0.1403
-0.91,-0.16,0.1456
-0.66,-0.87,0.5742
0.96,0.83,0.7968
-0.13,0.4,-0.052000000000000005
-0.35,0.83,-0.2905
0.48,0.04,0.0192
0.33,-0.63,-0.2079
-0.26,0.22,-0.0572
0.68,0.65,0.44200000000000006
-0.05,0.09,-0.0045
-0.18,-0.89,0.1602
-0.72,0.66,-0.4752
0.78,-0.76,-0.5928
0.56,-0.04,-0.022400000000000003
-0.69,-0.52,0.3588
0.75,0.24,0.18
0.38,0.38,0.1444
-0.28,-0.14,0.039200000000000006
-0.29,0.85,-0.24649999999999997
-0.29,0.71,-0.20589999999999997
-0.37,-0.69,0.25529999999999997
0.33,0.05,0.0165
-0.43,0.09,-0.0387
-0.94,-0.94,0.8835999999999999
-0.9,-0.87,0.783
0.27,-0.83,-0.2241
0.14,0.71,0.0994
0.01,0.13,0.0013000000000000002
-0.36,-0.61,0.2196
0.05,-0.57,-0.028499999999999998
-1.0,-0.44,0.44
-0.49,0.52,-0.2548
0.89,-0.67,-0.5963
-0.1,0.9,-0.09000000000000001
0.47,0.23,0.1081
0.24,-0.53,-0.1272
-0.42,0.07,-0.029400000000000003
0.51,-0.33,-0.1683
-0.7,-0.67,0.469
-0.35,-1.0,0.35
0.13,0.18,0.0234
-0.85,-0.01,0.0085
0.13,-0.99,-0.1287
-0.45,-0.24,0.108
-0.44,-0.18,0.07919999999999999
0.32,0.12,0.0384
0.67,-0.21,-0.1407
-0.88,0.53,-0.46640000000000004
0.19,0.82,0.1558
0.3,0.21,0.063
0.64,0.6,0.384
0.23,0.56,0.12880000000000003
-0.53,0.69,-0.36569999999999997
-0.39,0.32,-0.12480000000000001
0.44,0.36,0.15839999999999999
-0.75,0.09,-0.0675
0.24,-0.98,-0.2352
0.43,-0.25,-0.1075
-0.72,-0.86,0.6192
0.54,-0.6,-0.324
0.47,0.1,0.047
-0.21,0.85,-0.1785
-0.39,-0.94,0.3666
0.75,-0.02,-0.015
-0.9,-0.54,0.48600000000000004
-0.58,0.75,-0.43499999999999994
0.13,-0.77,-0.10010000000000001
-0.24,-0.93,0.2232
-0.96,-0.5,0.48
-0.88,0.24,-0.2112
-0.68,0.75,-0.51
-0.9,0.3,-0.27
-0.85,-0.93,0.7905
-0.74,0.12,-0.08879999999999999
0.8,0.44,0.35200000000000004
-0.94,0.59,-0.5546
-0.63,0.65,-0.40950000000000003
0.1,0.42,0.042
0.39,-0.74,-0.2886
-0.77,-0.88,0.6776
-0.2,-0.07,0.014000000000000002
0.38,0.78,0.2964
-0.19,0.17,-0.0323
0.04,0.56,0.022400000000000003
-0.58,0.43,-0.24939999999999998
-0.64,-0.47,0.3008
-0.8,0.21,-0.168
0.32,-0.24,-0.0768
-0.7,0.27,-0.189
0.77,0.89,0.6853
0.44,-0.49,-0.21559999999999999
0.7,0.24,0.16799999999999998
-0.59,0.4,-0.236
0.03,-0.69,-0.020699999999999996
-0.18,0.06,-0.010799999999999999
-0.7,0.56,-0.392
0.82,0.98,0.8036
-0.31,-0.41,0.1271
-0.13,0.15,-0.0195
-0.72,0.73,-0.5256
0.77,-0.71,-0.5467
0.9,0.48,0.432
-0.84,-0.87,0.7308
-0.8,0.65,-0.52
-0.47,0.2,-0.094
0.31,-0.4,-0.124
-0.25,-1.0,0.25
0.39,-0.64,-0.24960000000000002
0.75,-0.98,-0.735
0.35,-0.82,-0.287
0.17,0.59,0.1003
0.41,-0.29,-0.11889999999999998
0.2,0.39,0.07800000000000001
-0.56,-0.77,0.4312
-0.76,-0.49,0.3724
-0.82,0.57,-0.4673999999999999
-0.57,-0.44,0.25079999999999997
-0.2,-0.79,0.15800000000000003
-0.85,0.1,-0.085
-0.07,0.3,-0.021
0.86,-0.62,-0.5332
-0.58,-0.77,0.4466
-0.61,-0.11,0.06709999999999999
-0.5,-0.53,0.265
-0.81,0.09,-0.0729
0.65,0.99,0.6435
0.12,0.36,0.043199999999999995
-0.26,0.05,-0.013000000000000001
-0.45,0.27,-0.12150000000000001
-0.3,-0.82,0.24599999999999997
0.05,0.28,0.014000000000000002
-0.86,-0.63,0.5418
0.6,-0.03,-0.018
0.89,0.94,0.8366
-0.85,-0.75,0.6375
-0.6,0.28,-0.168
-0.48,-0.38,0.1824
0.93,-0.22,-0.2046
0.53,-0.68,-0.36040000000000005
0.63,0.78,0.4914
0.76,0.67,0.5092
0.88,0.63,0.5544
-0.99,-1.0,0.99
-0.97,0.82,-0.7953999999999999
0.24,0.99,0.23759999999999998
-0.22,0.41,-0.09019999999999999
0.13,0.77,0.10010000000000001
-0.13,0.34,-0.0442
-0.79,-0.56,0.44240000000000007
-0.95,0.07,-0.0665
0.68,-0.28,-0.19040000000000004
0.97,0.04,0.0388
-0.49,0.03,-0.0147
0.59,0.46,0.2714
-0.66,0.66,-0.43560000000000004
0.88,0.87,0.7656
0.45,-0.22,-0.099
0.41,-0.99,-0.4059
-0.52,0.26,-0.13520000000000001
-0.77,-0.81,0.6237
0.01,0.03,0.0003
0.35,0.76,0.26599999999999996
-0.22,-0.08,0.0176
0.33,0.79,0.26070000000000004
0.23,0.2,0.046000000000000006
0.79,-0.33,-0.26070000000000004
-0.39,-0.61,0.2379
0.62,-0.8,-0.496
-0.33,-0.14,0.046200000000000005
-0.23,0.72,-0.1656
-0.05,0.05,-0.0025000000000000005
0.32,0.75,0.24
-0.11,-0.75,0.0825
0.02,-0.19,-0.0038
-0.19,0.31,-0.0589
0.85,0.63,0.5355
-0.53,0.53,-0.28090000000000004
0.89,-0.83,-0.7387
-0.73,-0.29,0.21169999999999997
-0.25,-0.42,0.105
-0.63,-0.35,0.22049999999999997
-0.51,-0.94,0.4794
0.13,0.47,0.0611
0.17,-0.92,-0.1564
-0.15,-0.09,0.0135
0.4,-0.93,-0.37200000000000005
0.03,0.35,0.010499999999999999
-0.21,-0.91,0.1911
0.04,0.1,0.004
0.66,-0.85,-0.561
0.1,-0.56,-0.05600000000000001
-0.18,0.03,-0.005399999999999999
-0.7,-0.3,0.21
-0.85,0.25,-0.2125
0.61,0.16,0.0976
-0.92,0.38,-0.3496
-0.29,0.1,-0.028999999999999998
0.41,0.22,0.09019999999999999
0.47,0.9,0.423
-0.91,0.12,-0.1092
0.66,0.91,0.6006
-0.71,-0.7,0.49699999999999994
0.0,0.44,0.0
0.59,-0.33,-0.1947
0.35,0.84,0.294
-0.15,0.23,-0.0345
0.23,-0.06,-0.0138
-0.85,-0.13,0.1105
0.76,0.28,0.21280000000000002
0.24,0.53,0.1272
0.01,-0.47,-0.0047
0.95,0.92,0.874
-0.36,-0.96,0.34559999999999996
0.66,-0.18,-0.1188
-0.69,0.93,-0.6416999999999999
0.18,0.18,0.0324
0.22,-0.95,-0.209
-0.62,-0.5,0.31
-0.12,-0.29,0.0348
0.43,-0.5,-0.215
-0.16,0.09,-0.0144
0.7,0.82,0.574
0.29,-0.09,-0.026099999999999998
0.96,0.59,0.5663999999999999
-0.92,0.33,-0.30360000000000004
-0.11,0.14,-0.015400000000000002
-0.31,-0.6,0.186
0.21,0.53,0.1113
0.7,-0.21,-0.147
0.87,0.1,0.08700000000000001
0.83,0.66,0.5478
-0.08,-0.05,0.004
-0.48,-0.81,0.38880000000000003
0.66,-0.44,-0.2904
0.0,0.56,0.0
-0.74,-0.06,0.044399999999999995
0.67,-0.18,-0.1206
0.57,-0.49,-0.2793
-0.69,0.85,-0.5864999999999999
0.95,-0.42,-0.39899999999999997
-0.91,0.61,-0.5551
0.29,0.89,0.2581
0.2,-0.43,-0.08600000000000001
-0.84,-0.81,0.6804
-0.29,0.38,-0.11019999999999999
0.36,0.17,0.061200000000000004
0.34,0.76,0.2584
0.41,0.77,0.3157
0.97,0.78,0.7566
-0.01,0.49,-0.0049
-0.5,0.61,-0.305
-0.58,-0.76,0.44079999999999997
-0.43,-0.6,0.258
-0.73,-0.04,0.0292
-0.84,-0.04,0.0336
0.08,0.59,0.0472
-0.3,0.27,-0.081
-0.19,0.57,-0.1083
-0.43,0.17,-0.0731
-0.11,-0.86,0.0946
0.02,0.71,0.014199999999999999
-0.1,-0.4,0.04000000000000001
-0.77,-0.99,0.7623
-0.13,-0.22,0.0286
0.4,-0.61,-0.244
-0.28,-0.4,0.11200000000000002
-0.41,-0.13,0.0533
0.86,-0.57,-0.49019999999999997
0.47,0.0,0.0
-0.46,0.4,-0.18400000000000002
-0.13,0.48,-0.0624
0.99,0.81,0.8019000000000001
0.67,0.18,0.1206
0.38,0.89,0.3382
0.7,-0.11,-0.077
0.82,-0.68,-0.5576
0.9,0.41,0.369
-0.21,-0.09,0.0189
0.24,-0.93,-0.2232
-0.46,0.74,-0.34040000000000004
-0.09,0.49,-0.0441
-0.12,-0.1,0.012
-0.18,-0.34,0.061200000000000004
0.48,0.02,0.0096
-0.81,-0.96,0.7776000000000001
0.06,-0.04,-0.0024
0.96,-0.85,-0.816
-0.36,-0.52,0.1872
0.65,-0.54,-0.35100000000000003
-0.73,0.92,-0.6716
0.43,0.2,0.08600000000000001
-0.7,-0.02,0.013999999999999999
0.06,0.43,0.0258
0.86,0.64,0.5504
0.29,0.99,0.28709999999999997
-0.54,0.05,-0.027000000000000003
-0.87,0.62,-0.5394
0.72,-0.52,-0.3744
-0.82,0.01,-0.008199999999999999
-0.46,-0.85,0.391
-0.23,-0.77,0.1771
-0.86,-0.12,0.1032
0.3,0.96,0.288
-0.65,0.52,-0.338
0.1,0.08,0.008
-0.64,0.46,-0.2944
-0.61,-0.75,0.4575
0.53,0.22,0.11660000000000001
-0.33,-0.99,0.3267
0.28,-0.76,-0.21280000000000002
0.37,-0.76,-0.2812
-0.46,-0.76,0.3496
0.61,0.83,0.5063
-0.45,0.8,-0.36000000000000004
-0.76,-0.74,0.5624
0.75,0.28,0.21000000000000002
-1.0,0.3,-0.3
0.79,0.25,0.1975
-0.24,-0.68,0.1632
-0.12,0.81,-0.09720000000000001
0.33,-0.35,-0.11549999999999999
0.42,0.96,0.40319999999999995
-0.21,-0.88,0.1848
0.37,-0.62,-0.2294
-0.89,0.39,-0.3471
0.11,-0.5,-0.055
0.48,-0.9,-0.432
0.37,-0.86,-0.3182
0.56,-0.73,-0.40880000000000005
-0.55,0.12,-0.066
-0.36,0.89,-0.3204
-0.99,-0.06,0.059399999999999994
-0.71,0.79,-0.5609
0.29,0.26,0.0754
-0.44,-0.33,0.1452
0.7,-0.01,-0.006999999999999999
-0.62,-0.41,0.2542
0.02,0.0,0.0
0.27,-0.45,-0.12150000000000001
0.19,0.3,0.056999999999999995
-0.85,-0.26,0.221
0.13,0.14,0.0182
0.14,-0.14,-0.019600000000000003
0.32,0.5,0.16
0.26,0.94,0.2444
0.11,0.29,0.0319
-0.02,0.18,-0.0036
0.84,0.93,0.7812
0.02,-0.76,-0.0152
-0.44,0.18,-0.07919999999999999
-0.1,0.13,-0.013000000000000001
0.42,0.42,0.17639999999999997
0.15,-0.45,-0.0675
-0.82,0.85,-0.697
-0.25,0.81,-0.2025
-0.44,0.15,-0.066
0.48,0.27,0.1296
0.75,-0.39,-0.2925
-0.21,0.43,-0.09029999999999999
0.76,0.28,0.21280000000000002
0.65,-0.46,-0.29900000000000004
0.71,-0.21,-0.14909999999999998
0.02,-0.1,-0.002
-0.34,0.72,-0.24480000000000002
-0.21,0.95,-0.19949999999999998
-0.42,0.4,-0.168
0.16,-0.85,-0.136
-0.65,-0.71,0.46149999999999997
0.21,-0.54,-0.1134
0.02,-0.04,-0.0008
-0.99,-0.15,0.1485
-0.11,0.66,-0.0726
-0.72,-0.39,0.2808
0.73,-0.88,-0.6424
-0.22,0.57,-0.12539999999999998
-0.89,0.66,-0.5874
0.51,-0.23,-0.1173
0.71,0.75,0.5325
-0.94,-0.5,0.47
0.52,-0.8,-0.41600000000000004
-0.06,-0.51,0.0306
-0.29,-0.89,0.2581
0.12,0.53,0.0636
-0.49,0.35,-0.17149999999999999
0.27,0.89,0.2403
0.38,-1.0,-0.38
0.92,-0.73,-0.6716
-0.56,0.59,-0.3304
-0.16,0.4,-0.064
0.98,-0.19,-0.1862
0.07,0.62,0.0434
0.76,-0.73,-0.5548
-0.33,0.76,-0.2508
-0.42,0.23,-0.0966
0.22,-0.4,-0.08800000000000001
0.41,-0.35,-0.1435
0.44,-0.45,-0.198
0.48,0.58,0.2784
0.02,-0.05,-0.001
0.53,-0.12,-0.0636
-0.58,-0.97,0.5626
0.63,-0.84,-0.5292
0.83,-0.29,-0.24069999999999997
-0.74,-0.58,0.42919999999999997
0.48,0.31,0.1488
0.14,-0.21,-0.029400000000000003
-0.94,-0.69,0.6486
-0.08,-0.52,0.041600000000000005
-0.58,-0.42,0.24359999999999998
0.78,-0.38,-0.2964
0.84,-0.73,-0.6132
-0.48,0.83,-0.3984
0.85,0.49,0.4165
-0.34,0.54,-0.1836
0.57,-0.79,-0.4503
0.3,-0.55,-0.165
-0.68,-0.13,0.0884
-0.43,0.43,-0.18489999999999998
-0.22,0.62,-0.1364
-0.4,0.13,-0.052000000000000005
0.15,-0.8,-0.12
0.39,-0.55,-0.21450000000000002
-0.6,-0.98,0.588
0.98,-0.96,-0.9408
0.27,-0.32,-0.0864
0.04,-0.75,-0.03
0.24,0.8,0.192
-0.28,0.1,-0.028000000000000004
0.75,0.7,0.5249999999999999
0.55,0.74,0.40700000000000003
0.73,-0.79,-0.5767
-0.89,-0.54,0.4806
-0.93,0.15,-0.1395
-0.59,0.23,-0.1357
-0.17,0.08,-0.013600000000000001
0.56,-0.15,-0.084
0.39,0.98,0.3822
-0.31,-0.27,0.08370000000000001
0.16,-0.74,-0.1184
-0.26,0.78,-0.2028
-0.44,0.56,-0.24640000000000004
0.83,-0.16,-0.1328
-0.39,-0.4,0.15600000000000003
0.07,0.67,0.046900000000000004
0.6,-0.94,-0.564
-0.22,-0.15,0.033
-0.53,-0.88,0.46640000000000004
-0.81,-0.78,0.6318
-0.68,0.96,-0.6528
0.15,0.36,0.054
-0.11,-0.95,0.1045
0.31,0.04,0.0124
-0.44,0.66,-0.2904
0.32,-0.29,-0.0928
-0.1,0.78,-0.07800000000000001
0.78,-0.27,-0.2106
-0.59,-0.79,0.4661
-0.71,0.84,-0.5963999999999999
0.03,-0.64,-0.0192
0.31,-0.93,-0.2883
-0.41,0.08,-0.032799999999999996
-0.16,0.1,-0.016
0.6,0.62,0.372
0.41,-0.61,-0.2501
0.26,0.21,0.0546
-0.65,0.5,-0.325
-0.85,0.54,-0.459
0.84,-0.98,-0.8231999999999999
-0.75,-0.3,0.22499999999999998
0.05,-0.68,-0.034
-0.06,-0.3,0.018
0.95,0.75,0.7124999999999999
-0.11,0.64,-0.0704
-0.71,-0.73,0.5183
0.45,0.62,0.279
-0.84,-0.27,0.2268
-0.38,-0.89,0.3382
-0.12,-0.63,0.0756
-0.85,-0.06,0.051
-0.5,0.79,-0.395
-0.15,-0.91,0.1365
0.39,-0.95,-0.3705
0.1,0.57,0.056999999999999995
-0.61,0.62,-0.3782
-0.88,0.17,-0.1496
-0.37,0.74,-0.2738
-0.28,-0.52,0.1456
0.02,0.06,0.0012
0.06,0.2,0.012
0.58,-0.59,-0.34219999999999995
-0.76,-0.28,0.21280000000000002
0.72,0.78,0.5616
0.07,0.57,0.0399
-0.23,0.32,-0.0736
0.23,0.78,0.1794
-0.44,0.0,-0.0
-0.87,0.44,-0.3828
0.25,-0.1,-0.025
-0.53,0.37,-0.1961
-0.22,-0.74,0.1628
-0.42,-0.9,0.378
-0.09,0.04,-0.0036
-0.07,-0.99,0.0693
0.67,-0.69,-0.4623
0.37,-0.11,-0.0407
0.14,0.57,0.0798
-0.96,-0.41,0.39359999999999995
-0.66,0.02,-0.013200000000000002
-0.56,0.51,-0.2856
-0.75,-0.69,0.5175
0.93,0.95,0.8835
-0.63,-0.44,0.2772
-0.87,0.17,-0.1479
0.47,0.94,0.44179999999999997
-0.55,-0.4,0.22000000000000003
0.79,0.13,0.10270000000000001
0.63,0.6,0.378
0.64,0.96,0.6144
-0.74,-0.14,0.10360000000000001
0.83,0.06,0.0498
-0.36,-0.4,0.144
-0.54,-0.06,0.0324
-0.32,0.85,-0.272
0.21,-0.1,-0.021
0.94,-0.85,-0.7989999999999999
-0.63,0.81,-0.5103000000000001
0.63,-0.69,-0.4347
-0.15,0.75,-0.11249999999999999
-0.52,-0.47,0.2444
-0.79,0.08,-0.0632
-0.57,0.03,-0.017099999999999997
0.5,0.4,0.2
-0.81,-0.26,0.2106
-0.03,-0.98,0.0294
0.74,-0.24,-0.17759999999999998
0.84,-0.29,-0.24359999999999998
-0.17,-0.34,0.05780000000000001
-0.16,-0.21,0.0336
-0.09,0.23,-0.0207
-0.89,-0.83,0.7387
0.81,0.34,0.27540000000000003
0.7,0.52,0.364
-0.56,0.09,-0.0504
0.75,-0.17,-0.1275
0.09,-0.63,-0.0567
0.1,-0.66,-0.066
0.63,-0.49,-0.3087
-0.19,0.44,-0.08360000000000001
0.75,-0.22,-0.165
0.62,0.88,0.5456
0.13,-0.28,-0.0364
0.7,-0.11,-0.077
0.19,0.08,0.0152
0.25,-0.16,-0.04
0.51,-0.45,-0.2295
-0.87,0.36,-0.3132
-0.55,-0.39,0.21450000000000002
-0.64,0.75,-0.48
0.07,-0.87,-0.0609
-0.42,-0.5,0.21
-0.14,-0.53,0.07420000000000002
-0.2,-0.72,0.144
0.33,-0.33,-0.10890000000000001
-0.31,-0.88,0.2728
-0.58,0.51,-0.2958
0.58,-0.77,-0.4466
-0.28,-0.46,0.12880000000000003
0.35,0.37,0.1295
0.66,-0.75,-0.495
-0.37,0.11,-0.0407
0.09,-0.56,-0.0504
-0.04,-0.71,0.028399999999999998
-0.29,0.37,-0.10729999999999999
-0.74,-0.3,0.222
0.36,0.96,0.34559999999999996
0.77,-0.31,-0.2387
0.09,0.77,0.0693
0.71,-0.11,-0.0781
-1.0,0.87,-0.87
-0.47,-0.74,0.3478
0.27,0.38,0.10260000000000001
-0.68,-0.44,0.2992
-0.44,-0.85,0.374
-0.81,-0.95,0.7695
0.48,0.28,0.13440000000000002
-0.75,-0.14,0.10500000000000001
-0.47,0.47,-0.22089999999999999
0.87,-0.23,-0.2001
0.67,0.8,0.536
-0.24,0.05,-0.012
-0.89,0.3,-0.267
0.64,-0.23,-0.1472
0.08,-0.42,-0.0336
-0.69,-0.7,0.48299999999999993
0.25,-0.81,-0.2025
0.15,-0.34,-0.051000000000000004
-0.81,0.59,-0.4779
0.05,-0.59,-0.0295
-0.15,-0.07,0.0105
0.16,-0.69,-0.1104
-0.81,0.11,-0.08910000000000001
-0.15,-0.62,0.093
-0.3,0.02,-0.006
0.01,-0.35,-0.0034999999999999996
0.37,-0.25,-0.0925
0.48,-0.02,-0.0096
0.45,0.0,0.0
0.04,0.25,0.01
0.09,0.85,0.0765
0.19,0.32,0.0608
-0.78,0.92,-0.7176
-0.44,0.36,-0.15839999999999999
-0.82,0.68,-0.5576
0.3,0.08,0.024
-0.31,0.92,-0.2852
0.18,0.04,0.0072
-0.18,-0.08,0.0144
0.56,0.53,0.29680000000000006
0.44,0.3,0.132
-0.42,0.91,-0.3822
-0.43,-0.58,0.24939999999999998
0.41,0.48,0.19679999999999997
-0.71,-0.01,0.0070999999999999995
-0.34,0.51,-0.17340000000000003
0.28,0.11,0.030800000000000004
0.44,0.5,0.22
-0.52,0.26,-0.13520000000000001
0.29,-0.4,-0.11599999999999999
-0.31,-0.1,0.031
0.61,0.64,0.3904
0.63,0.68,0.42840000000000006
0.01,-0.34,-0.0034000000000000002
0.65,0.52,0.338
0.45,0.24,0.108
0.77,0.04,0.0308
0.22,-0.19,-0.041800000000000004
-0.91,-0.71,0.6461
0.88,-0.04,-0.0352
0.52,0.68,0.3536
-0.99,0.76,-0.7524
-0.08,-0.65,0.052000000000000005
-0.01,-0.58,0.0058
-0.9,0.53,-0.47700000000000004
0.33,-0.44,-0.1452
-0.46,0.87,-0.4002
-0.67,0.09,-0.0603
-0.3,-0.45,0.135
-0.64,-0.03,0.0192
0.51,-0.71,-0.3621
0.73,0.8,0.584
0.19,-0.57,-0.1083
-0.86,-0.3,0.258
0.54,-0.88,-0.4752
-0.51,-0.6,0.306
0.2,-0.73,-0.146
0.83,0.24,0.1992
0.41,0.42,0.1722
0.41,0.97,0.39769999999999994
-0.86,-0.08,0.0688
0.92,0.85,0.782
-0.36,-0.11,0.039599999999999996
-0.15,-0.39,0.058499999999999996
0.87,0.76,0.6612
0.72,0.07,0.0504
-0.94,0.15,-0.141
-0.46,-0.95,0.437
-0.35,-0.2,0.06999999999999999
0.82,-0.24,-0.19679999999999997
0.01,0.53,0.0053
-0.48,0.26,-0.1248
-0.46,0.36,-0.1656
-0.61,0.47,-0.28669999999999995
0.88,0.66,0.5808
0.33,-0.06,-0.0198
0.36,-0.74,-0.26639999999999997
-0.18,-0.61,0.1098
-0.51,0.03,-0.0153
-0.05,-0.96,0.048
-0.25,0.08,-0.02
-0.04,0.57,-0.022799999999999997
-0.58,-0.34,0.19720000000000001
0.37,0.32,0.1184
-0.15,0.64,-0.096
0.9,-0.93,-0.8370000000000001
-0.17,0.96,-0.1632
-0.18,0.05,-0.009
0.88,0.46,0.4048
-0.34,0.73,-0.2482
-0.62,-0.81,0.5022
0.72,0.11,0.07919999999999999
-0.8,-0.93,0.7440000000000001
0.23,-0.32,-0.0736
0.88,0.34,0.2992
-0.03,0.36,-0.010799999999999999
-0.84,0.15,-0.126
-0.9,-0.76,0.684
-0.16,0.81,-0.12960000000000002
0.36,-0.2,-0.072
0.19,0.71,0.1349
-0.03,-0.68,0.0204
0.76,-0.54,-0.41040000000000004
-0.68,-0.96,0.6528
-0.31,-0.09,0.027899999999999998
-0.36,-0.78,0.2808
